"lc_class","call_num_prefix","pub_date","last_checkin","checkout_total","title","author","country","language_code","oclc_num"
"U","Unknown",2011,"2012-08-15",4,"ANCIENT ART OF TEA : DISCOVER HAPPINESS AND CONTENTMENT IN A PERFECT CUP OF TEA.","Peltier, Warren V.","No place, unknown, or undetermined","und",NA
"A","APS",NA,"1999-04-21",5,"APS Readers - IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"A","APS",NA,"1997-09-02",6,"APS Readers - IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"P","PS",1988,"1997-04-29",42,"Adventures of Huckleberry Finn : American comic vision /","Sloane, David E. E., 1943-","United States","eng",NA
"H","HB",1993,"2013-03-18",24,"An essay on the principle of population /","Malthus, T. R. 1766-1834. (Thomas Robert),","United Kingdom","eng",NA
"H","HV",1989,"2012-12-06",92,"Animal rights : opposing viewpoints /","","United States","eng",NA
"R","Reserve",NA,"1999-06-23",38,"Branch book reserves - IGNORE DUE DATE DISPLAYED : 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"H","HD",1993,"1997-10-23",18,"Business and its environment /","Baron, David P.","United States","eng",NA
"D","DT",1990,"1991-11-27",4,"Camping with the Prince and other tales of science in Africa /","Bass, Thomas A.","United States","eng",NA
"C","Cassettes",NA,"1995-10-10",6,"Cassettes **** IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-02-02",11,"Cassettes **** IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"2005-05-04",18,"Cassettes **** IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1996-12-10",11,"Cassettes **** IGNORE DUE DATE DISPLAYED : 2-HR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-10-19",37,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-02-02",5,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-06-17",44,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-06-17",19,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1997-07-21",31,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1998-03-25",9,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1999-05-10",10,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"1995-11-05",2,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
"C","Cassettes",NA,"2005-05-04",25,"Cassettes ***** IGNORE DUE DATE DISPLAYED -- 2-HOUR LOAN","College Library Reserves Circulation Record.","No place, unknown, or undetermined","|||",NA
